,f
0,24.433333333333334
1,20.388190476190474
2,23.666285714285717
3,27.68504761904762
4,23.770523809523805
5,21.488547619047623
6,27.755517094017094
7,25.214333333333332
8,17.715999999999998
9,20.000000000000004
10,22.5175
11,24.802257936507935
12,22.261833333333335
13,24.941690476190473
14,27.935333333333332
15,22.51433333333334
16,27.782769841269836
17,18.855
18,25.596299062049056
19,29.334999999999994
20,23.56861904761905
21,17.146
22,22.98717857142857
23,29.423333333333332
24,29.423333333333332
25,17.552833333333332
26,17.217928571428573
27,24.465
28,24.901714285714284
29,24.333357142857135
30,22.98717857142857
31,28.409577922077915
32,26.906080808080805
33,21.270666666666667
34,27.146080808080807
35,19.672
36,26.52171428571429
37,27.988333333333333
38,23.57833333333333
39,23.89122619047619
40,26.888333333333335
41,16.249999999999996
42,23.843007936507934
43,28.826666666666668
44,20.74933333333334
45,30.919333333333334
46,21.42836904761905
47,24.664214285714284
48,26.503968253968246
49,20.56702380952381
50,25.590241702741704
51,23.82
52,22.333912337662337
53,15.906666666666665
54,20.673333333333336
55,26.745015873015873
56,19.266666666666666
57,20.673333333333336
58,31.42
59,30.07
60,22.018980519480518
61,30.862666666666666
62,26.745015873015873
63,17.495
64,27.570666666666668
65,21.602928571428563
66,28.765047619047618
67,25.596299062049056
68,22.45634340659342
69,19.51
70,25.013333333333335
71,18.512333333333334
72,23.855499999999996
73,25.590241702741704
74,25.862021922521922
75,21.05006349206349
76,32.42666666666667
77,17.64522222222222
78,21.450138888888887
79,16.719166666666666
80,17.64522222222222
81,21.602928571428563
82,24.904196969696976
83,20.778499999999998
84,27.94142857142857
85,19.7
86,18.823540404040404
87,24.973910173160174
88,30.258666666666667
89,32.25
90,23.770523809523805
91,17.386666666666667
92,20.000000000000004
93,23.609071428571426
94,28.053666666666672
95,24.973910173160174
96,23.855499999999996
97,30.07
98,18.168492784992782
99,22.98717857142857
